TYPE,PRICE,BEDS,PROPERTYSQFT,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Condo for sale,595000,1,574,"26 W 127th St, New York, NY 10027, USA",40.8080535,-73.9426066
Condo for sale,2799000,3,2350,"105 15th St, Brooklyn, NY 11215, USA",40.6676042,-73.9931265
Co-op for sale,289000,1,520,"7401 Shore Rd #2l, Brooklyn, NY 11209, USA",40.6339937,-74.0363466
Co-op for sale,595000,1,2184.207862,"317 E 3rd St #4, New York, NY 10009, USA",40.7211983,-73.9787559
Pending,669000,3,1080,"42-39 248th St, Flushing, NY 11363, USA",40.7696159,-73.7403605
House for sale,1288000,3,2184.207862,"21-26 81st St, Flushing, NY 11370, USA",40.7701118,-73.8892017
Townhouse for sale,13995000,5,6815,"137 W 77th St, New York, NY 10024, USA",40.7813836,-73.9776937
Co-op for sale,2095000,4,2184.207862,"345 E 56th St, New York, NY 10022, USA",40.7579677,-73.9636757
Co-op for sale,585000,3,1050,"35-31 85th St, Jackson Heights, NY 11372, USA",40.7512505,-73.8814433
House for sale,699000,3,1538,"38 Jones St, Staten Island, NY 10314, USA",40.6059609,-74.1644799
Condo for sale,340000,1,850,"2925 W 5th St #12h, Brooklyn, NY 11224, USA",40.5777691,-73.9719866
Condo for sale,15500000,5,4193,"1045 Madison Ave #11, New York, NY 10075, USA",40.7766637,-73.9615947
Co-op for sale,199999,1,550,"1717 E 18th St #5g, Brooklyn, NY 11229, USA",40.6079619,-73.9549426
Pending,2495000,5,4230,"217 W 122nd St, New York, NY 10027, USA",40.807581,-73.9505281
Co-op for sale,799000,2,1043,"175 Adams St #3g, Brooklyn, NY 11201, USA",40.6985714,-73.9881911
House for sale,888888,4,2088,"20 Greencroft Ln, Staten Island, NY 10308, USA",40.5469948,-74.1413764
House for sale,1690000,3,1536,"1914 E 26th St, Brooklyn, NY 11229, USA",40.6042182,-73.946797
Condo for sale,8950000,2,2270,"212 W 18th St #19c, New York, NY 10011, USA",40.7412267,-73.9987741
House for sale,1449000,3,3600,"61 Cypress Ave, Staten Island, NY 10301, USA",40.613153,-74.1076394
Condo for sale,1295000,2,1160,"1641 3rd Ave #3h, New York, NY 10128, USA",40.7822235,-73.9509367
Co-op for sale,599000,1,800,"568 Grand St j102, New York, NY 10002, USA",40.7142822,-73.9792183
House for sale,628000,3,960,"268 Cromwell Ave, Staten Island, NY 10305, USA",40.5883038,-74.0928759
Condo for sale,593000,2,1312,"31 Hylan Blvd #2b, Staten Island, NY 10305, USA",40.6151849,-74.0646359
House for sale,634900,2,2184.207862,"99-27 Francis Lewis Blvd, Jamaica, NY 11429, USA",40.7123648,-73.7530514
Condo for sale,499900,2,960,"491 Midland Ave, Staten Island, NY 10306, USA",40.5741868,-74.0960192
Condo for sale,540000,3,509,"150 E 37th St #4b, New York, NY 10016, USA",40.7478487,-73.9775903
House for sale,1950000,3,2184.207862,"180-11 Tudor Rd, Jamaica, NY 11432, USA",40.721482,-73.7883218
Co-op for sale,379000,2,2184.207862,"6400 Saunders St #6e, Rego Park, NY 11374, USA",40.7286188,-73.8616623
Co-op for sale,299000,1,800,"92-30 56th Ave #3g, Elmhurst, NY 11373, USA",40.7365158,-73.8687964
Multi-family home for sale,850000,6,2230,"3019 Kingsbridge Terrace, Bronx, NY 10463, USA",40.8760983,-73.9021193
Pending,199999,9,2184.207862,"429 Pennsylvania Ave, Brooklyn, NY 11207, USA",40.666792,-73.894205
Multi-family home for sale,899000,4,1892,"1139 E 86th St, Brooklyn, NY 11236, USA",40.6344613,-73.9042326
Multi-family home for sale,1299000,10,4500,"247 Senator St, Brooklyn, NY 11220, USA",40.6378136,-74.0266176
House for sale,699000,3,2184.207862,"448 Turneur Ave, Bronx, NY 10473, USA",40.8163884,-73.8461253
Condo for sale,579000,2,750,"140-31 Cherry Ave #9a, Flushing, NY 11355, USA",40.75467,-73.821996
House for sale,585000,3,1008,"94 Walker St, Staten Island, NY 10302, USA",40.6302304,-74.142966
Co-op for sale,579000,2,2184.207862,"34-41 85th St #3a, Flushing, NY 11372, USA",40.7531191,-73.8818757
Multi-family home for sale,499000,3,2184.207862,"921 E 84th St, Brooklyn, NY 11236, USA",40.6370243,-73.909613
Contingent,350000,3,1137,"145 Lincoln Ave #3j, Staten Island, NY 10306, USA",40.579062,-74.1076165
House for sale,1250000,3,2072,"89 Nixon Ave, Staten Island, NY 10304, USA",40.6321382,-74.0806123
Multi-family home for sale,899000,4,2184.207862,"104-40 Alstyne Ave, Flushing, NY 11368, USA",40.7431111,-73.8574241
Townhouse for sale,1979000,5,3150,"185 Weirfield St, Brooklyn, NY 11221, USA",40.6908422,-73.9117096
House for sale,599000,3,780,"459 Raritan Ave, Staten Island, NY 10305, USA",40.5880538,-74.0858781
House for sale,779000,4,2188,"122 Hamilton Ave, Staten Island, NY 10301, USA",40.6445045,-74.0818972
Townhouse for sale,25000000,6,2184.207862,"29 E 63rd St, New York, NY 10065, USA",40.7659809,-73.9689839
Contingent,350000,3,1137,"145 Lincoln Ave #3j, Staten Island, NY 10306, USA",40.579062,-74.1076165
Multi-family home for sale,899000,4,2184.207862,"104-40 Alstyne Ave, Flushing, NY 11368, USA",40.7431111,-73.8574241
Co-op for sale,1195000,2,2184.207862,"24 W 83rd St #5r, New York, NY 10024, USA",40.783637,-73.9719146
Condo for sale,1995000,2,1838,"298 E 2nd St Apartment 4, New York, NY 10009, USA",40.720539,-73.979335
Co-op for sale,564900,1,769,"215 Adams St #10b, Brooklyn, NY 11201, USA",40.697478,-73.988335
Multi-family home for sale,1250000,6,2184.207862,"85 Arlington Ave, Brooklyn, NY 11207, USA",40.6800398,-73.8914993
Condo for sale,15000000,4,2184.207862,"70 W 45th St Ph 2, New York, NY 10036, USA",40.7563378,-73.982217
Multi-family home for sale,1399000,4,2283,"31-53 45th St, Long Island City, NY 11103, USA",40.7580197,-73.9140215
House for sale,1250000,4,3160,"1841 Richmond Rd, Staten Island, NY 10306, USA",40.585661,-74.1059417
Co-op for sale,335000,1,2184.207862,"33-15 81st St, Flushing, NY 11372, USA",40.7547282,-73.8859706
Multi-family home for sale,685000,4,2000,"884 E 161 St, Bronx, NY 10459, USA",40.8194513,-73.9001792
Co-op for sale,279999,2,666,"3235 Emmons Ave Apt 120, Brooklyn, NY 11235, USA",40.5844399,-73.9316116
Co-op for sale,418000,2,2184.207862,"9411 69th Ave Apt 307, Forest Hills, NY 11375, USA",40.7155199,-73.8530199
Multi-family home for sale,1780000,10,2184.207862,"41-59 70th St, Flushing, NY 11377, USA",40.7429826,-73.8945462
Condo for sale,520000,2,741,"105 Bennett Ave # 54b, New York, NY 10033, USA",40.8536742,-73.9347275
House for sale,599900,3,1248,"9 Lovell Ave, Staten Island, NY 10314, USA",40.5922258,-74.1508322
Multi-family home for sale,885000,6,2680,"933 Fteley Ave, Bronx, NY 10473, USA",40.8236783,-73.8705222
Co-op for sale,258000,1,650,"601 Brightwater Ct #5l, Brooklyn, NY 11235, USA",40.5759986,-73.960785
Condo for sale,700000,2,1124,"16803 Powells Cove Blvd #14, Beechhurst, NY 11357, USA",40.7942255,-73.7950678
Multi-family home for sale,25750000,6,2184.207862,"17 E 76th St, New York, NY 10021, USA",40.7747817,-73.9639595
House for sale,999000,4,2184.207862,"78-27 268th St, Glen Oaks, NY 11004, USA",40.7492036,-73.7045081
Contingent,898000,3,2744,"23 Bancroft Ave, Staten Island, NY 10306, USA",40.5789553,-74.1138794
Condo for sale,500000,1,720,"232 E 118th St #5b, New York, NY 10035, USA",40.7983883,-73.937888
House for sale,695000,3,1926,"696 Autumn Ave, Brooklyn, NY 11208, USA",40.6713641,-73.8673475
Co-op for sale,215000,3,2184.207862,"61-15 97th St, Rego Park, NY 11374, USA",40.7337965,-73.8620837
House for sale,759000,3,2184.207862,"71-31 66th Rd, Flushing, NY 11379, USA",40.7142473,-73.8830471
Co-op for sale,375000,1,1185,"10 Bay Street Landing #1a, Staten Island, NY 10301, USA",40.638118,-74.073964
Multi-family home for sale,2700000,24,18936,"3520 Newkirk Ave #24, Brooklyn, NY 11203, USA",40.6401806,-73.9429395
Pending,2100000,3,1902,"76 Powers St, Brooklyn, NY 11211, USA",40.7118832,-73.947991
Co-op for sale,389888,1,730,"37-30 73rd St, Flushing, NY 11372, USA",40.7479556,-73.8929488
Co-op for sale,285000,1,900,"2815 Ocean Pkwy #3f, Brooklyn, NY 11235, USA",40.5811062,-73.966749
Co-op for sale,2795000,4,2184.207862,"801 West End Ave #2a, New York, NY 10025, USA",40.7975649,-73.9720384
Condo for sale,674999,3,1299,"90 Bay Street Landing #6k, Staten Island, NY 10301, USA",40.6403656,-74.0737574
Townhouse for sale,12995000,4,5608,"129 E 70th St, New York, NY 10021, USA",40.7694487,-73.9634625
House for sale,759000,3,1260,"2044 E 67th St, Brooklyn, NY 11234, USA",40.6184347,-73.9113421
Condo for sale,995000,2,1030,"575 4th Ave #2a, Brooklyn, NY 11215, USA",40.6655513,-73.9922171
Co-op for sale,229000,1,2184.207862,"3025 Ocean Ave #6h, Brooklyn, NY 11235, USA",40.5874249,-73.9487987
Co-op for sale,239000,1,800,"3017 Riverdale Ave #3c, Bronx, NY 10463, USA",40.880985,-73.9102329
Co-op for sale,315000,2,2184.207862,"5 E 131st St #3a, New York, NY 10037, USA",40.8101633,-73.9387972
House for sale,1100000,5,2192,"85-11 164th Ave, Jamaica, NY 11414, USA",40.6500222,-73.844778
Co-op for sale,225000,1,2184.207862,"21-68 35th St #5d, Astoria, NY 11105, USA",40.7753572,-73.9085482
House for sale,868000,3,1484,"212 Hunter Ave, Staten Island, NY 10306, USA",40.5802397,-74.1018122
Multi-family home for sale,1380000,5,2184.207862,"31-32 100th St, Flushing, NY 11369, USA",40.7600366,-73.8692081
House for sale,1100000,4,1800,"7372 Amboy Rd, Staten Island, NY 10307, USA",40.5103369,-74.2424867
Co-op for sale,865000,1,2184.207862,"407 Park Ave S Apartment 11b, New York, NY 10016, USA",40.743373,-73.983626
Pending,1895000,3,1230,"47 Bridge St #3c, Brooklyn, NY 11201, USA",40.7032131,-73.9845345
House for sale,749000,3,1800,"93 Gower St, Staten Island, NY 10314, USA",40.6105648,-74.1237991
Multi-family home for sale,775000,5,1600,"2951 Harding Ave, Bronx, NY 10465, USA",40.8166622,-73.8139448
Co-op for sale,2395000,2,1650,"320 E 57th St, New York, NY 10022, USA",40.7588081,-73.9647057
Multi-family home for sale,2300000,8,4000,"123 Bay 10th St, Brooklyn, NY 11228, USA",40.608367,-74.0112145
Condo for sale,700000,1,900,"138 Edgecombe Ave #1a, New York, NY 10030, USA",40.8211582,-73.9445475
Multi-family home for sale,775000,5,1600,"2951 Harding Ave, Bronx, NY 10465, USA",40.8166622,-73.8139448
House for sale,749000,3,1800,"93 Gower St, Staten Island, NY 10314, USA",40.6105648,-74.1237991
Condo for sale,450000,3,494,"4907 4th Ave #3c, Brooklyn, NY 11220, USA",40.646643,-74.011966
Co-op for sale,865000,1,2184.207862,"407 Park Ave S Apartment 11b, New York, NY 10016, USA",40.743373,-73.983626
Co-op for sale,280000,3,2184.207862,"431 E 82nd St #1a, New York, NY 10028, USA",40.7737792,-73.9495867
House for sale,1100000,4,1800,"7372 Amboy Rd, Staten Island, NY 10307, USA",40.5103369,-74.2424867
Pending,1895000,3,1230,"47 Bridge St #3c, Brooklyn, NY 11201, USA",40.7032131,-73.9845345
Condo for sale,3890000,3,2446,"219 E 44th St #31, New York, NY 10017, USA",40.7518502,-73.9725168
Pending,560000,2,2184.207862,"345 Bedford Ave d2, Brooklyn, NY 11211, USA",40.7121147,-73.9626871
Co-op for sale,198000,1,2184.207862,"65-15 Alderton St #1a, Rego Park, NY 11374, USA",40.720847,-73.858929
House for sale,1099000,3,1092,"8 Piedmont Ave, Staten Island, NY 10305, USA",40.6038744,-74.0739123
Co-op for sale,779000,1,800,"321 W 90th St #8d, New York, NY 10024, USA",40.792004,-73.9767816
Multi-family home for sale,1880000,5,1850,"6820 17th Ave, Brooklyn, NY 11204, USA",40.6184547,-73.9949244
House for sale,509000,3,1100,"3054 Lawton Ave, Bronx, NY 10465, USA",40.8181427,-73.8105454
Condo for sale,499000,1,845,"2068 Ocean Ave #2b, Brooklyn, NY 11230, USA",40.611469,-73.954103
Co-op for sale,204888,3,2184.207862,"6712 Yellowstone Blvd Apt G16, Forest Hills, NY 11375, USA",40.7284499,-73.8492399
Multi-family home for sale,1499000,8,3300,"713 E 239th St, Bronx, NY 10466, USA",40.8998618,-73.852221
House for sale,1295000,8,3050,"3043 Brighton 14th St, Brooklyn, NY 11235, USA",40.578698,-73.9551566
Co-op for sale,7500000,3,6000,"515 Broadway #2b, New York, NY 10012, USA",40.7227148,-73.9993678
Condo for sale,395000,1,519,"7013A Park Dr E, Flushing, NY 11367, USA",40.7267616,-73.8294609
Multi-family home for sale,760000,4,1490,"446 Clifton Ave, Staten Island, NY 10305, USA",40.6100159,-74.0754726
House for sale,988000,4,1552,"158-34 75th Ave, Flushing, NY 11366, USA",40.7264779,-73.8093514
Condo for sale,528000,2,753,"6988 136th St, Flushing, NY 11367, USA",40.7267616,-73.8294609
Multi-family home for sale,949000,5,2184.207862,"587 Van Siclen Ave, Brooklyn, NY 11207, USA",40.6651608,-73.8881575
Condo for sale,420000,2,840,"1286 Rockland Ave #2h, Staten Island, NY 10314, USA",40.5945609,-74.1596635
Pending,1380000,6,2184.207862,"15039 59th Ave, Flushing, NY 11355, USA",40.7416665,-73.8173924
Condo for sale,1750000,3,1494,"203 W 81st St #2a, New York, NY 10024, USA",40.7847793,-73.9778528
Co-op for sale,268000,1,850,"14220 26th Ave #5b, Flushing, NY 11354, USA",40.7741978,-73.8256676
House for sale,849000,3,2184.207862,"110-19 Saultell Ave, Flushing, NY 11368, USA",40.7398873,-73.8506134
Multi-family home for sale,1095000,3,2184.207862,"31-36 48th St, Long Island City, NY 11103, USA",40.757489,-73.9116062
Condo for sale,4295000,3,2615,"426 W 58th St PH 3, New York, NY 10019, USA",40.7688045,-73.9862514
Multi-family home for sale,720000,3,2184.207862,"126-15 103rd Ave, South Richmond Hill, NY 11419, USA",40.6899814,-73.8185297
Multi-family home for sale,1900000,3,3500,"1838 Victor St, Bronx, NY 10462, USA",40.8462523,-73.8671523
House for sale,729999,3,1056,"120-15 145th St, Jamaica, NY 11436, USA",40.6762428,-73.7945184
Co-op for sale,425000,3,2184.207862,"207 W 98th St #1a, New York, NY 10025, USA",40.7957436,-73.9699861
House for sale,848000,3,1080,"1645 71st St, Brooklyn, NY 11204, USA",40.6180243,-73.9971092
Co-op for sale,213000,3,430,"345 Webster Ave #3m, Brooklyn, NY 11230, USA",40.6339914,-73.9689071
Multi-family home for sale,795000,3,1725,"1051 Herkimer St, Brooklyn, NY 11233, USA",40.6781645,-73.9185084
Pending,749000,3,2184.207862,"7 Van Nostrand Ct, Little Neck, NY 11362, USA",40.7714035,-73.733393
Condo for sale,1350000,2,2184.207862,"659 Baltic St, Brooklyn, NY 11217, USA",40.6799762,-73.9787904
Co-op for sale,649000,2,1500,"270-10 Grand Central Pkwy #25k, Little Neck, NY 11362, USA",40.7568337,-73.715194
Co-op for sale,439000,2,900,"13-56 Bell Blvd #2, Bayside, NY 11360, USA",40.7877465,-73.7810708
Multi-family home for sale,1699000,5,2184.207862,"42-11 Astoria Blvd N, Astoria, NY 11105, USA",40.7691484,-73.9073703
Condo for sale,2375000,2,986,"3 Ct Square W, Long Island City, NY 11101, USA",40.7478785,-73.9444755
Co-op for sale,349999,1,2184.207862,"97-37 63rd Rd #11f, Rego Park, NY 11374, USA",40.7318958,-73.8599645
House for sale,425000,2,2184.207862,"117-23 142nd St, Jamaica, NY 11436, USA",40.6779035,-73.799284
House for sale,1650000,3,2272,"132 Oxford St, Brooklyn, NY 11235, USA",40.5799535,-73.9383472
Pending,1225000,4,2184.207862,"3447 80th St Apt 31, Jackson Heights, NY 11372, USA",40.7535399,-73.8868899
House for sale,699000,3,2184.207862,"10557 Avenue K, Brooklyn, NY 11236, USA",40.64539,-73.8897652
Co-op for sale,1150000,1,984,"40 Remsen St Apt 4, Brooklyn, NY 11201, USA",40.6946221,-73.9969945
House for sale,2399000,5,2184.207862,"208 Mayfair Dr N, Brooklyn, NY 11234, USA",40.6115517,-73.9061979
Multi-family home for sale,989000,8,3252,"855 E 223rd St, Bronx, NY 10466, USA",40.8850441,-73.8562999
Co-op for sale,318888,1,875,"99-25 60th Ave #6g, Corona, NY 11368, USA",40.736926,-73.8577614
Co-op for sale,799000,2,1549,"270-10 Grand Central Pkwy #24k, Little Neck, NY 11362, USA",40.7568337,-73.715194
Co-op for sale,489000,2,950,"9201 Shore Rd #509, Brooklyn, NY 11209, USA",40.620502,-74.0396973
Co-op for sale,398000,2,900,"181 73rd St Apt 457, Brooklyn, NY 11209, USA",40.6337679,-74.0305471
House for sale,1190000,3,1088,"186 Mackenzie St, Brooklyn, NY 11235, USA",40.5787747,-73.9401956
Townhouse for sale,795000,5,2184.207862,"1065 Hegeman Ave, Brooklyn, NY 11208, USA",40.6678086,-73.8739629
Multi-family home for sale,750000,3,2184.207862,"4701 Beverley Rd, Brooklyn, NY 11203, USA",40.6463635,-73.9325263
Condo for sale,899999,3,1750,"148-09 Northern Blvd #5d, Flushing, NY 11354, USA",40.7654814,-73.8178731
Townhouse for sale,795000,5,2184.207862,"1065 Hegeman Ave, Brooklyn, NY 11208, USA",40.6678086,-73.8739629
Multi-family home for sale,750000,3,2184.207862,"4701 Beverley Rd, Brooklyn, NY 11203, USA",40.6463635,-73.9325263
Condo for sale,899999,3,1750,"148-09 Northern Blvd #5d, Flushing, NY 11354, USA",40.7654814,-73.8178731
Condo for sale,1325000,3,1597,"9511 Shore Rd APT 503, Brooklyn, NY 11209, USA",40.6163434,-74.0377889
Townhouse for sale,595000,1,846,"943 St Marks Ave #1a, Brooklyn, NY 11213, USA",40.6749628,-73.9401841
Multi-family home for sale,10700000,42,27152,"646 Port Richmond Ave, Staten Island, NY 10302, USA",40.6276713,-74.1423518
Condo for sale,330000,1,726,"215 Hart Blvd #2b, Staten Island, NY 10301, USA",40.6299335,-74.0999243
Condo for sale,2998000,3,1763,"4630 Center Blvd, Long Island City, NY 11109, USA",40.7465758,-73.9569744
Co-op for sale,425000,2,2184.207862,"86 Beaver St #2j, Brooklyn, NY 11206, USA",40.699914,-73.936622
Co-op for sale,345000,2,1000,"2711 Henry Hudson Pkwy #5g, Bronx, NY 10463, USA",40.8819273,-73.9172822
Condo for sale,999000,2,1187,"13338 Sanford Ave # 16b, Flushing, NY 11355, USA",40.7560001,-73.8293002
House for sale,450000,3,2184.207862,"125-15 Defoe St, Jamaica, NY 11413, USA",40.681047,-73.754428
Co-op for sale,135000,2,750,"950 Hoe Ave #4c, Bronx, NY 10459, USA",40.8224272,-73.8900397
Condo for sale,261250,2,857,"1017 Faile St #1017A, Bronx, NY 10459, USA",40.8245968,-73.8898403
Condo for sale,728000,3,1450,"41-38 66th St #5b, Woodside, NY 11377, USA",40.7436792,-73.8983202
Pending,199000,3,1100,"1259 Grant Ave #5h, Bronx, NY 10456, USA",40.8344217,-73.914718
Multi-family home for sale,3200000,3,3735,"2117 5th Ave, New York, NY 10035, USA",40.8093495,-73.9398627
Condo for sale,1950000,3,1300,"300 E 85th St Apt 1103, New York, NY 10028, USA",40.7770634,-73.9522998
Co-op for sale,600000,2,900,"736 W 186th St #7g, New York, NY 10033, USA",40.8535911,-73.9359601
Multi-family home for sale,3200000,3,3735,"2117 5th Ave, New York, NY 10035, USA",40.8093495,-73.9398627
Condo for sale,569000,1,739,"390 Kings Hwy #5d, Brooklyn, NY 11223, USA",40.604365,-73.9757485
Co-op for sale,749000,1,2184.207862,"57 Thompson St #2b, New York, NY 10012, USA",40.7241044,-74.0035529
House for sale,2488000,4,3850,"232 Beaumont St, Brooklyn, NY 11235, USA",40.5762337,-73.9511136
Multi-family home for sale,1138000,5,1026,"1520 63rd St, Brooklyn, NY 11219, USA",40.6240315,-73.9954118
Multi-family home for sale,1359000,11,2240,"1353 Putnam Ave, Brooklyn, NY 11221, USA",40.6941915,-73.913053
Multi-family home for sale,3720000,8,5500,"29 Essex St, New York, NY 10002, USA",40.7158959,-73.989796
Multi-family home for sale,974998,7,2184.207862,"759 Glenmore Ave, Brooklyn, NY 11208, USA",40.675444,-73.8823121
Co-op for sale,300000,3,600,"599 E 7th St #4g, Brooklyn, NY 11218, USA",40.6372695,-73.9712947
House for sale,729000,3,2184.207862,"110-36 199th St, Jamaica, NY 11412, USA",40.7052223,-73.7583006
Co-op for sale,750000,2,2184.207862,"575 Park Ave # 1508, New York, NY 10065, USA",40.7651716,-73.9678719
House for sale,599000,3,1120,"45 Bogota St, Staten Island, NY 10314, USA",40.5863749,-74.1470603
Townhouse for sale,11950000,6,5336,"27 E 73rd St, New York, NY 10021, USA",40.772751,-73.9650884
Co-op for sale,825000,1,1100,"180 East End Ave #18h, New York, NY 10128, USA",40.7766673,-73.9439269
House for sale,800000,3,2184.207862,"742 Lexington Ave, Brooklyn, NY 11221, USA",40.6899365,-73.9294828
Co-op for sale,289000,3,2184.207862,"36 Dahill Rd #1l, Brooklyn, NY 11218, USA",40.646116,-73.98134
Condo for sale,4750000,4,4100,"116 W 14th St FL 4, New York, NY 10011, USA",40.7375173,-73.9979625
Co-op for sale,899999,2,2184.207862,"224 E 11th St Apt 22, New York, NY 10003, USA",40.7308571,-73.9878596
Townhouse for sale,868000,2,1152,"58-36 79th St, Flushing, NY 11379, USA",40.7259203,-73.8814296
Condo for sale,3995000,3,1637,"450 W 17th St APT 1709, New York, NY 10011, USA",40.7435613,-74.0063336
House for sale,1500000,3,1240,"243 Bay 13th St, Brooklyn, NY 11214, USA",40.6045606,-74.0114555
House for sale,625000,4,2184.207862,"1797 Troy Ave, Brooklyn, NY 11234, USA",40.6283989,-73.9334448
Pending,749000,1,2184.207862,"88 Charles St #3d, New York, NY 10014, USA",40.7345653,-74.0041732
House for sale,520000,3,1705,"503 E 182nd St, Bronx, NY 10457, USA",40.8536129,-73.8933593
Multi-family home for sale,749900,5,1400,"159 Montauk Ave., Brooklyn, NY 11208, USA",40.6754664,-73.8780744
Multi-family home for sale,799000,6,2310,"669 E 237th St, Bronx, NY 10466, USA",40.897885,-73.8562199
Co-op for sale,959000,3,1993,"27110 Grand Central Pkwy #11, Queens Village, NY 11005, USA",40.7564761,-73.7212008
Multi-family home for sale,888000,5,2980,"228 E 89th St, Brooklyn, NY 11236, USA",40.6484284,-73.9166783
House for sale,725000,2,988,"51 Bedford Ave, Staten Island, NY 10306, USA",40.5821761,-74.1078688
Condop for sale,1065000,2,2184.207862,"One Carnegie Hill, 215 E 96th St #25c, New York, NY 10128, USA",40.7850141,-73.9481639
Townhouse for sale,19995000,7,8200,"14 E 81st St, New York, NY 10028, USA",40.7777833,-73.962008
Condo for sale,744000,2,890,"32-86 33rd St d7, Astoria, NY 11106, USA",40.7592629,-73.9257407
Pending,675000,3,2780,"41 Warren St b, New York, NY 10007, USA",40.7143933,-74.0088774
Condo for sale,4595000,4,3052,"619 E 6th St #1, New York, NY 10009, USA",40.7241883,-73.9804574
Co-op for sale,475000,1,2184.207862,"213 Eastern Pkwy #2, Brooklyn, NY 11238, USA",40.671881,-73.961562
Co-op for sale,189000,2,800,"756 Brady Ave Apt 307, Bronx, NY 10462, USA",40.8522362,-73.8655005
House for sale,998888,4,2184.207862,"115-04 144th St, Jamaica, NY 11436, USA",40.682563,-73.799077
Pending,675000,3,2780,"41 Warren St b, New York, NY 10007, USA",40.7143933,-74.0088774
Pending,4500000,1,5400,"129 Russell St, Brooklyn, NY 11222, USA",40.7248276,-73.9446616
Co-op for sale,32000000,4,7500,"383 W Broadway, New York, NY 10012, USA",40.7237571,-74.0021582
Multi-family home for sale,3250000,6,3059,"68 Clifton Pl, Brooklyn, NY 11238, USA",40.6877385,-73.9618932
Multi-family home for sale,769000,7,2100,"222 Gordon St, Staten Island, NY 10304, USA",40.6219621,-74.0832854
House for sale,648998,3,1296,"1361 Waring Ave, Bronx, NY 10469, USA",40.8611669,-73.8467192
House for sale,1699900,7,2418,"186 Covert St., Brooklyn, NY 11207, USA",40.6898884,-73.9085265
Pending,3250000,8,2184.207862,"1123 Albemarle Rd, Brooklyn, NY 11218, USA",40.6467032,-73.9685896
Co-op for sale,395250,1,650,"3185 Crescent St Apt 410, Astoria, NY 11106, USA",40.7642499,-73.92761
House for sale,539000,3,972,"84 Nautilus St, Staten Island, NY 10305, USA",40.6104417,-74.0628522
Townhouse for sale,1348000,5,2184.207862,"46-03 104th St, Flushing, NY 11368, USA",40.7462947,-73.8595834
Condo for sale,1450000,3,1855,"40-26 College Point Blvd #18d, Flushing, NY 11354, USA",40.7573108,-73.8341865
Co-op for sale,465000,2,2184.207862,"37-50 87th St, Jackson Heights, NY 11372, USA",40.7483992,-73.8795703
Condo for sale,6500000,2,1639,"1600 Broadway Ph 4b, New York, NY 10019, USA",40.7601885,-73.9843625
Co-op for sale,297000,1,800,"10236 64th Ave Apt 4d, Forest Hills, NY 11375, USA",40.7322799,-73.85181
Co-op for sale,244900,1,518,"260-46 73rd Ave a1, Glen Oaks, NY 11004, USA",40.7511183,-73.7160095
House for sale,2480000,4,5150,"149-37 9th Ave, Flushing, NY 11357, USA",40.7932103,-73.8161976
Co-op for sale,230000,1,2184.207862,"108-50 62nd Dr #3a, Flushing, NY 11375, USA",40.736005,-73.849174
Condo for sale,780000,2,825,"618 Avenue H, Brooklyn, NY 11230, USA",40.6288601,-73.9704912
Townhouse for sale,4875000,3,2184.207862,"130 E 38th St, New York, NY 10016, USA",40.748964,-73.978301
Co-op for sale,539999,3,2184.207862,"33-04 93rd St Apt 6N, Jackson Heights, NY 11372, USA",40.7563263,-73.8752379
Co-op for sale,750000,2,1193,"2621 Palisade Ave #16a, Bronx, NY 10463, USA",40.8825618,-73.9212739
Condo for sale,2249000,2,2321,"211 Madison Ave #22a, New York, NY 10016, USA",40.7486775,-73.9819284
Co-op for sale,270000,2,700,"21-78 35th St #5f, Astoria, NY 11105, USA",40.7751901,-73.9090015
Pending,399000,2,2184.207862,"301 E 63rd St #4b, New York, NY 10065, USA",40.7631466,-73.9622114
Co-op for sale,1950000,2,2184.207862,"56 Jane St #4e, New York, NY 10014, USA",40.7380264,-74.0053843
Co-op for sale,240000,2,2184.207862,"83-85 Woodhaven Blvd #2s, Woodhaven, NY 11421, USA",40.6987743,-73.8529203
Condo for sale,628000,3,900,"82-25 Queens Blvd #3b, Elmhurst, NY 11373, USA",40.7376925,-73.8803546
Co-op for sale,399000,2,2184.207862,"34-10 94th St #2d, Flushing, NY 11372, USA",40.7544847,-73.8740993
House for sale,687000,2,2184.207862,"57 Shore Dr, Bronx, NY 10465, USA",40.8214203,-73.8062717
Townhouse for sale,588000,2,2000,"19 Teri Ct, Staten Island, NY 10314, USA",40.5904561,-74.1521059
Multi-family home for sale,825000,5,2184.207862,"1221 Manor Ave, Bronx, NY 10472, USA",40.8296973,-73.8768124
Co-op for sale,240000,2,2184.207862,"83-85 Woodhaven Blvd #2s, Woodhaven, NY 11421, USA",40.6987743,-73.8529203
Condo for sale,285000,2,835,"1527 Metropolitan Ave #4g, Bronx, NY 10462, USA",40.8396194,-73.8587548
Condo for sale,595000,3,915,"609 Myrtle Ave C1, Brooklyn, NY 11205, USA",40.6944083,-73.9595899
Condo for sale,899000,2,1697,"90 Bay Street Landing #5a, Staten Island, NY 10301, USA",40.6403656,-74.0737574
Townhouse for sale,2995000,5,4900,"234 W 138th St, New York, NY 10030, USA",40.8178071,-73.9440991
House for sale,1180000,4,2184.207862,"73-27 193rd St, Flushing, NY 11366, USA",40.7335974,-73.7788656
